20;119.811;122.931;119.321;124.016;162.266;
40;236.263;242.919;221.488;241.069;238.802;
60;363.930;361.124;359.717;362.932;334.788;
80;388.976;372.232;383.565;388.396;385.399;
100;404.959;400.033;380.683;402.932;400.422;
120;434.290;436.391;475.789;418.247;465.885;
140;423.011;444.140;429.147;441.978;438.770;
160;478.202;444.374;424.728;464.578;479.209;
180;459.624;468.677;474.806;486.794;477.438;
200;0;0;0;0;0;
220;0;0;0;0;0;
240;0;0;0;0;0;
260;0;0;0;0;0;
280;0;0;0;0;0;
300;0;0;0;0;0;
320;0;0;0;0;0;
340;0;0;0;0;0;
360;0;0;0;0;0;
380;0;0;0;0;0;
400;0;0;0;0;0;
420;0;0;0;0;0;
440;0;0;0;0;0;
460;0;0;0;0;0;
480;0;0;0;0;0;
500;0;0;0;0;0;
