50;40.348;64.861;55.273;85.315;87.941;
100;136.267;106.989;86.707;105.913;128.658;
150;87.480;68.059;177.307;162.213;141.897;
200;117.268;108.373;182.914;178.226;164.525;
250;162.620;205.211;207.576;133.214;212.867;
300;229.898;190.865;172.615;168.124;118.476;
350;100.920;192.552;230.664;0;142.273;
400;218.735;188.081;240.510;138.597;229.315;
450;151.295;226.512;237.396;203.817;140.470;
500;160.400;245.184;0;149.389;208.601;
550;244.316;235.391;154.177;207.338;0;
600;189.559;0;209.056;174.167;0;
650;0;220.723;165.166;0;0;
700;215.701;0;0;0;0;
750;0;0;0;0;0;
800;0;0;0;0;0;
850;0;0;0;0;0;
900;0;0;0;0;0;
950;0;0;0;0;0;
1000;0;0;0;0;0;
1050;0;0;0;0;0;
1100;0;0;0;0;0;
1150;0;0;0;0;0;
1200;0;0;0;0;0;
1250;0;0;0;0;0;
