50;12.418;34.214;25.656;55.949;59.596;
100;61.250;102.420;119.572;134.696;107.634;
150;45.124;148.318;130.291;132.732;84.266;
200;121.431;142.366;177.279;151.792;87.542;
250;225.085;136.582;129.272;118.824;177.132;
300;122.983;197.014;230.321;167.943;209.783;
350;243.647;192.942;0;176.640;212.105;
400;231.785;177.453;207.077;201.373;208.750;
450;0;81.309;71.914;145.728;254.072;
500;223.613;213.642;252.981;230.289;200.186;
550;229.051;0;190.548;221.536;0;
600;252.789;0;0;0;0;
650;0;0;0;0;0;
700;0;0;0;0;0;
750;0;0;0;0;0;
